derived_split	source_split	source	image	label	label_line	coco_image_id	coco_annotation_id	yolo_class_id	coco_category_id	vertices	bbox_x	bbox_y	bbox_w	bbox_h	area	mask_sha256	polygon_sha256
train_clean	train	local_test_images_20260707	local_test_images_20260707_0001.jpg	local_test_images_20260707_0001.txt	1	1	1	0	1	52	328.0	552.0	186.0	161.0	15990.0	c96ecd58c89a8eb3f5fd026a65e60df07f27cffa8620c834beb3a1685b12570c	0ed25910194b9ec5bb6e5dea00d2ad53195582782926cdd6f79b473e2ab5600c
train_clean	train	local_test_images_20260707	local_test_images_20260707_0001.jpg	local_test_images_20260707_0001.txt	2	1	2	0	1	43	634.0	582.0	88.0	141.0	7354.0	f18397d3d3cb21bbaac7a1105f461ccfb0d58898d81a2d2e643ca84e9e1c7eff	1a983707331664674d467ca5439e7a4673ef01123e303217164cbd8154287de0
train_clean	train	local_test_images_20260707	local_test_images_20260707_0001.jpg	local_test_images_20260707_0001.txt	3	1	3	0	1	26	478.0	561.0	183.0	179.0	25657.0	3c9f2bb7ee00031490c03a5a22168f1c7c9dda3593eb1b8d95a384bdd7c63d04	05ce02cb865166a812f1ff641184d94851ca0bebe7b1283acde4c77d7ae39d9e
train_clean	train	local_test_images_20260707	local_test_images_20260707_0001.jpg	local_test_images_20260707_0001.txt	4	1	4	0	1	52	350.0	699.0	189.0	174.0	26105.0	ee0f528f2ff2af22424b742e36611735835d4f59c31dcf95134a4ef4cdde2a99	e111beb24278b57131b831923fd14936794d873532d6b710fe2273a646f63865
train_clean	train	local_test_images_20260707	local_test_images_20260707_0001.jpg	local_test_images_20260707_0001.txt	5	1	5	0	1	47	555.0	947.0	199.0	226.0	35233.0	ecdb2e997a06cc818218eccda99d1cb0cb7d0c0fb795000a5138720e961220f3	b63ded1a7a1c3f0cff5bbad3812c4de1a99f6029188916875f55bf57d3ab4021
train_clean	train	local_test_images_20260707	local_test_images_20260707_0001.jpg	local_test_images_20260707_0001.txt	6	1	6	0	1	52	370.0	877.0	159.0	246.0	28918.0	d97819c263b22daeeaa77642009a9ad235713f37579575db25c9ea1af1db8a46	2f6a3921c5b2e5707276016aeece29fde51d3ae5c557ee107c4e602e896619c3
train_clean	train	local_test_images_20260707	local_test_images_20260707_0001.jpg	local_test_images_20260707_0001.txt	7	1	7	0	1	41	325.0	934.0	112.0	223.0	13761.0	b3e0d117457b172903e690f60907301fa4e3d346531907c200e1e403beed4c2e	379f74652a513a8bfa286402426325ccded9645bb12580e26193ca2a096ef533
train_clean	train	local_test_images_20260707	local_test_images_20260707_0001.jpg	local_test_images_20260707_0001.txt	8	1	8	0	1	37	495.0	1030.0	77.0	129.0	5157.0	47c5f807fa8cf5cfd6d0762ae47bc03c1199ed2cfd59a3c87f81d43984a9b303	4d865e4bedd73845bea5bfe940c811d06441ea6086ef9feb1155c03946489eb5
train_clean	train	local_test_images_20260707	local_test_images_20260707_0001.jpg	local_test_images_20260707_0001.txt	9	1	9	0	1	66	465.0	846.0	119.0	179.0	8698.0	c733a77e90012e847664fe07e608f63a420252ce5c6868b65c7d63cc4aa9f15a	8431997d4f36c2d612dc44538cb97fe47848592cb9d7b2964360dbd31955fc2b
train_clean	train	local_test_images_20260707	local_test_images_20260707_0001.jpg	local_test_images_20260707_0001.txt	10	1	10	0	1	44	543.0	729.0	195.0	185.0	24831.0	1c1b2d76f07f45718c139b8e66cfee74b17ca091b0d94ddf62ec2c4c52e0fd34	60f06d2bf5b6da34bc7ffb03ac9819732ca79295c4ecd63ae463356ce67e098e
