old_split	source	source_split	image	label	instances	source_image
test	roboflow_drago_v1	train	roboflow_drago_v1_467-Copy_jpg.rf.3ae4fc23861bd3468222d4ecd078b5c5.jpg	roboflow_drago_v1_467-Copy_jpg.rf.3ae4fc23861bd3468222d4ecd078b5c5.txt	2	Watermelon Detector.v1i.coco-segmentation\train\467-Copy_jpg.rf.3ae4fc23861bd3468222d4ecd078b5c5.jpg
test	roboflow_drago_v1	train	roboflow_drago_v1_467-Copy_jpg.rf.b07a0ec07204fc12edb0736ce311d9b2.jpg	roboflow_drago_v1_467-Copy_jpg.rf.b07a0ec07204fc12edb0736ce311d9b2.txt	2	Watermelon Detector.v1i.coco-segmentation\train\467-Copy_jpg.rf.b07a0ec07204fc12edb0736ce311d9b2.jpg
test	roboflow_drago_v1	train	roboflow_drago_v1_506-Copy_jpg.rf.13c41445558d89c5d48278a09a60f740.jpg	roboflow_drago_v1_506-Copy_jpg.rf.13c41445558d89c5d48278a09a60f740.txt	0	Watermelon Detector.v1i.coco-segmentation\train\506-Copy_jpg.rf.13c41445558d89c5d48278a09a60f740.jpg
test	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1970_jpg.rf.b8a8be1c1634aa768b3b766951d507d0.jpg	roboflow_team128_v5_IMG_1970_jpg.rf.b8a8be1c1634aa768b3b766951d507d0.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1970_jpg.rf.b8a8be1c1634aa768b3b766951d507d0.jpg
test	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1974_jpg.rf.148e2ced2adf6bb65910673ae15b175b.jpg	roboflow_team128_v5_IMG_1974_jpg.rf.148e2ced2adf6bb65910673ae15b175b.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1974_jpg.rf.148e2ced2adf6bb65910673ae15b175b.jpg
test	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1983_jpg.rf.639c1326031e83138e47b59dc62c62ef.jpg	roboflow_team128_v5_IMG_1983_jpg.rf.639c1326031e83138e47b59dc62c62ef.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1983_jpg.rf.639c1326031e83138e47b59dc62c62ef.jpg
test	roboflow_team128_v5	train	roboflow_team128_v5_IMG_1992_jpg.rf.55e6484d663f7d48b0ea38cbc42894ef.jpg	roboflow_team128_v5_IMG_1992_jpg.rf.55e6484d663f7d48b0ea38cbc42894ef.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_1992_jpg.rf.55e6484d663f7d48b0ea38cbc42894ef.jpg
test	roboflow_team128_v5	train	roboflow_team128_v5_IMG_2002_jpg.rf.8f3a2480235c1f8716bca35fc16b2a9c.jpg	roboflow_team128_v5_IMG_2002_jpg.rf.8f3a2480235c1f8716bca35fc16b2a9c.txt	1	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_2002_jpg.rf.8f3a2480235c1f8716bca35fc16b2a9c.jpg
train	roboflow_drago_v1	train	roboflow_drago_v1_209_jpg.rf.b0a674cad423a1bd2497101061244d2d.jpg	roboflow_drago_v1_209_jpg.rf.b0a674cad423a1bd2497101061244d2d.txt	3	Watermelon Detector.v1i.coco-segmentation\train\209_jpg.rf.b0a674cad423a1bd2497101061244d2d.jpg
train	roboflow_team128_v5	train	roboflow_team128_v5_IMG_0345_jpg.rf.76fa801514fc08ff8289d0d429ba710d.jpg	roboflow_team128_v5_IMG_0345_jpg.rf.76fa801514fc08ff8289d0d429ba710d.txt	0	Watermelon Detection.v5-raw_annotations.coco-segmentation\train\IMG_0345_jpg.rf.76fa801514fc08ff8289d0d429ba710d.jpg
