split	source	source_split	image	label	instances	source_image
train	local_test_images_20260707	manual_labelme	local_test_images_20260707_0001.jpg	local_test_images_20260707_0001.txt	11	test_images/微信图片_20260707154823_7_2.jpg
train	local_test_images_20260707	manual_labelme	local_test_images_20260707_0002.jpg	local_test_images_20260707_0002.txt	9	test_images/微信图片_20260707154824_8_2.jpg
train	local_test_images_20260707	manual_labelme	local_test_images_20260707_0003.jpg	local_test_images_20260707_0003.txt	12	test_images/微信图片_20260707154824_9_2.jpg
train	local_test_images_20260707	manual_labelme	local_test_images_20260707_0004.jpg	local_test_images_20260707_0004.txt	10	test_images/微信图片_20260707154825_10_2.jpg
train	local_test_images_20260707	manual_labelme	local_test_images_20260707_0005.jpg	local_test_images_20260707_0005.txt	11	test_images/微信图片_20260707154827_11_2.jpg
train	local_test_images_20260707	manual_labelme	local_test_images_20260707_0006.jpg	local_test_images_20260707_0006.txt	9	test_images/微信图片_20260707154829_12_2.jpg
train	local_test_images_20260707	manual_labelme	local_test_images_20260707_0008.jpg	local_test_images_20260707_0008.txt	13	test_images/微信图片_20260707154832_14_2.jpg
train	local_test_images_20260707	manual_labelme	local_test_images_20260707_0009.jpg	local_test_images_20260707_0009.txt	14	test_images/微信图片_20260707154834_15_2.jpg
train	my_labelme	manual	my_labelme_color_000007.png	my_labelme_color_000007.txt	10	raw\color_000007.png
train	my_labelme	manual	my_labelme_color_000008.png	my_labelme_color_000008.txt	10	raw\color_000008.png
train	my_labelme	manual	my_labelme_color_000009.png	my_labelme_color_000009.txt	10	raw\color_000009.png
train	my_labelme	manual	my_labelme_color_000010.png	my_labelme_color_000010.txt	10	raw\color_000010.png
train	my_labelme	manual	my_labelme_color_000011.png	my_labelme_color_000011.txt	8	raw\color_000011.png
train	my_labelme	manual	my_labelme_color_000014.png	my_labelme_color_000014.txt	9	raw\color_000014.png
train	my_labelme	manual	my_labelme_color_000015.png	my_labelme_color_000015.txt	9	raw\color_000015.png
train	my_labelme	manual	my_labelme_color_000017.png	my_labelme_color_000017.txt	12	raw\color_000017.png
train	my_labelme	manual	my_labelme_color_000018.png	my_labelme_color_000018.txt	13	raw\color_000018.png
train	my_labelme	manual	my_labelme_color_000019.png	my_labelme_color_000019.txt	12	raw\color_000019.png
train	my_labelme	manual	my_labelme_color_000020.png	my_labelme_color_000020.txt	11	raw\color_000020.png
