hard_negative_image	source_image	split	source	prediction_index	confidence	pred_area_ratio	best_gt_iou	max_gt_crop_overlap	crop_x1	crop_y1	crop_x2	crop_y2
D:/MelonDataset/watermelon_seg/exports/hard_negative_crops_runs20_trainval/images/train/hardneg_train_00000_local_test_images_20260707_0002.jpg	D:/MelonDataset/watermelon_seg/images/train/local_test_images_20260707_0002.jpg	train	local_test_images	9	0.156596	0.000668	0.000000	0.000000	0	676	112	788
D:/MelonDataset/watermelon_seg/exports/hard_negative_crops_runs20_trainval/images/train/hardneg_train_00001_local_test_images_20260707_0002.jpg	D:/MelonDataset/watermelon_seg/images/train/local_test_images_20260707_0002.jpg	train	local_test_images	11	0.088828	0.001572	0.000000	0.000000	755	150	960	355
D:/MelonDataset/watermelon_seg/exports/hard_negative_crops_runs20_trainval/images/train/hardneg_train_00002_local_test_images_20260707_0006.jpg	D:/MelonDataset/watermelon_seg/images/train/local_test_images_20260707_0006.jpg	train	local_test_images	9	0.125171	0.000671	0.000000	0.002315	605	521	701	617
D:/MelonDataset/watermelon_seg/exports/hard_negative_crops_runs20_trainval/images/train/hardneg_train_00003_roboflow_drago_v1_165_jpg.rf.04fa8f509fe0a6d588077645b4c979be.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_drago_v1_165_jpg.rf.04fa8f509fe0a6d588077645b4c979be.jpg	train	roboflow_drago_v1	2	0.105894	0.010052	0.000000	0.000000	326	78	573	325
D:/MelonDataset/watermelon_seg/exports/hard_negative_crops_runs20_trainval/images/train/hardneg_train_00004_roboflow_drago_v1_165_jpg.rf.481dbd3e33ba7f3eac83db3a1e6313d5.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_drago_v1_165_jpg.rf.481dbd3e33ba7f3eac83db3a1e6313d5.jpg	train	roboflow_drago_v1	2	0.105894	0.010052	0.000000	0.000000	326	78	573	325
D:/MelonDataset/watermelon_seg/exports/hard_negative_crops_runs20_trainval/images/train/hardneg_train_00005_roboflow_drago_v1_165_jpg.rf.8f16844591050283077fa3e433f66838.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_drago_v1_165_jpg.rf.8f16844591050283077fa3e433f66838.jpg	train	roboflow_drago_v1	1	0.125934	0.012306	0.000000	0.000000	82	62	330	310
D:/MelonDataset/watermelon_seg/exports/hard_negative_crops_runs20_trainval/images/train/hardneg_train_00006_roboflow_drago_v1_434-Copy_jpg.rf.18b0881e0794bf74968bfc2ffd0d97fb.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_drago_v1_434-Copy_jpg.rf.18b0881e0794bf74968bfc2ffd0d97fb.jpg	train	roboflow_drago_v1	1	0.301336	0.010204	0.000000	0.000000	494	251	640	397
D:/MelonDataset/watermelon_seg/exports/hard_negative_crops_runs20_trainval/images/train/hardneg_train_00007_roboflow_drago_v1_434-Copy_jpg.rf.6d59d83da2b204b6bff749c41b1f187f.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_drago_v1_434-Copy_jpg.rf.6d59d83da2b204b6bff749c41b1f187f.jpg	train	roboflow_drago_v1	1	0.301336	0.010204	0.000000	0.000000	494	251	640	397
D:/MelonDataset/watermelon_seg/exports/hard_negative_crops_runs20_trainval/images/train/hardneg_train_00008_roboflow_drago_v1_434-Copy_jpg.rf.8945db8bf907e6eb51d7ebd530371243.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_drago_v1_434-Copy_jpg.rf.8945db8bf907e6eb51d7ebd530371243.jpg	train	roboflow_drago_v1	1	0.204156	0.008793	0.000000	0.000000	252	500	392	640
D:/MelonDataset/watermelon_seg/exports/hard_negative_crops_runs20_trainval/images/train/hardneg_train_00009_roboflow_team128_v5_IMG_0327_jpg.rf.7eb78f947ca2d365949978e778e5b637.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0327_jpg.rf.7eb78f947ca2d365949978e778e5b637.jpg	train	roboflow_team128_v5	2	0.255410	0.002560	0.000000	0.000000	2324	1002	2708	1386
D:/MelonDataset/watermelon_seg/exports/hard_negative_crops_runs20_trainval/images/train/hardneg_train_00010_roboflow_team128_v5_IMG_0328_jpg.rf.8689c1eac410a0dc3ae41a7651708e6e.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0328_jpg.rf.8689c1eac410a0dc3ae41a7651708e6e.jpg	train	roboflow_team128_v5	1	0.694895	0.012783	0.000000	0.000000	1264	2513	1648	2897
D:/MelonDataset/watermelon_seg/exports/hard_negative_crops_runs20_trainval/images/train/hardneg_train_00011_roboflow_team128_v5_IMG_0329_jpg.rf.879a407850addf542a035ae808a819aa.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0329_jpg.rf.879a407850addf542a035ae808a819aa.jpg	train	roboflow_team128_v5	1	0.078739	0.004574	0.000000	0.000000	645	467	1029	851
D:/MelonDataset/watermelon_seg/exports/hard_negative_crops_runs20_trainval/images/train/hardneg_train_00012_roboflow_team128_v5_IMG_0332_jpg.rf.165a02d79fe2fd50ecee52d5b41e3914.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0332_jpg.rf.165a02d79fe2fd50ecee52d5b41e3914.jpg	train	roboflow_team128_v5	5	0.121863	0.001167	0.000000	0.000000	2653	1754	3024	2125
D:/MelonDataset/watermelon_seg/exports/hard_negative_crops_runs20_trainval/images/train/hardneg_train_00013_roboflow_team128_v5_IMG_0332_jpg.rf.165a02d79fe2fd50ecee52d5b41e3914.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0332_jpg.rf.165a02d79fe2fd50ecee52d5b41e3914.jpg	train	roboflow_team128_v5	7	0.082039	0.002232	0.000000	0.000000	2177	1212	2561	1596
D:/MelonDataset/watermelon_seg/exports/hard_negative_crops_runs20_trainval/images/train/hardneg_train_00014_roboflow_team128_v5_IMG_0339_jpg.rf.89a6c1d46eb27313c9018c17c3c61d4b.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0339_jpg.rf.89a6c1d46eb27313c9018c17c3c61d4b.jpg	train	roboflow_team128_v5	4	0.107140	0.011215	0.000000	0.000000	2640	2608	3024	2992
