hard_negative_image	source_image	split	source	prediction_index	confidence	pred_area_ratio	best_gt_iou	max_gt_crop_overlap	crop_x1	crop_y1	crop_x2	crop_y2
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00000_roboflow_team128_v5_IMG_0327_jpg.rf.7eb78f947ca2d365949978e778e5b637.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0327_jpg.rf.7eb78f947ca2d365949978e778e5b637.jpg	train	roboflow_team128_v5	2	0.131358	0.002720	0.000000	0.000000	2324	1002	2708	1386
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00001_roboflow_team128_v5_IMG_0328_jpg.rf.8689c1eac410a0dc3ae41a7651708e6e.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0328_jpg.rf.8689c1eac410a0dc3ae41a7651708e6e.jpg	train	roboflow_team128_v5	1	0.665759	0.012192	0.000000	0.000000	1264	2524	1648	2908
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00002_roboflow_team128_v5_IMG_0332_jpg.rf.165a02d79fe2fd50ecee52d5b41e3914.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0332_jpg.rf.165a02d79fe2fd50ecee52d5b41e3914.jpg	train	roboflow_team128_v5	2	0.267253	0.001160	0.000000	0.000000	2640	1758	3024	2142
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00003_roboflow_team128_v5_IMG_0339_jpg.rf.89a6c1d46eb27313c9018c17c3c61d4b.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0339_jpg.rf.89a6c1d46eb27313c9018c17c3c61d4b.jpg	train	roboflow_team128_v5	6	0.160299	0.003731	0.000000	0.000000	2640	2839	3024	3223
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00004_roboflow_team128_v5_IMG_0366_jpg.rf.c28505246f7823592d85fd0901e18b4a.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0366_jpg.rf.c28505246f7823592d85fd0901e18b4a.jpg	train	roboflow_team128_v5	6	0.234607	0.004635	0.000000	0.000000	0	223	384	607
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00005_roboflow_team128_v5_IMG_0366_jpg.rf.c28505246f7823592d85fd0901e18b4a.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0366_jpg.rf.c28505246f7823592d85fd0901e18b4a.jpg	train	roboflow_team128_v5	7	0.199389	0.006596	0.000000	0.000000	0	1805	384	2189
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00006_roboflow_team128_v5_IMG_0371_jpg.rf.a47e2e2bb024e0df746e6b41d8dfbe9d.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0371_jpg.rf.a47e2e2bb024e0df746e6b41d8dfbe9d.jpg	train	roboflow_team128_v5	1	0.659087	0.035767	0.000000	0.000000	1915	196	2299	580
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00007_roboflow_team128_v5_IMG_0373_jpg.rf.73716c12e0cddc6f06e6904b2ce8ac54.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0373_jpg.rf.73716c12e0cddc6f06e6904b2ce8ac54.jpg	train	roboflow_team128_v5	1	0.149685	0.004230	0.000000	0.000000	1957	1338	2341	1722
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00008_roboflow_team128_v5_IMG_0375_jpg.rf.22d608e64100b93679da0f46aec2daab.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0375_jpg.rf.22d608e64100b93679da0f46aec2daab.jpg	train	roboflow_team128_v5	2	0.807839	0.016621	0.000000	0.000000	246	0	630	384
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00009_roboflow_team128_v5_IMG_0380_jpg.rf.1ef35282ebdd882be5aedca82c789d01.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0380_jpg.rf.1ef35282ebdd882be5aedca82c789d01.jpg	train	roboflow_team128_v5	1	0.205074	0.007885	0.000000	0.000000	141	68	525	452
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00010_roboflow_team128_v5_IMG_0387_jpg.rf.22696b4752bea3ef1a0cc15ce2e90251.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0387_jpg.rf.22696b4752bea3ef1a0cc15ce2e90251.jpg	train	roboflow_team128_v5	2	0.451402	0.007168	0.000000	0.000000	1107	3648	1491	4032
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00011_roboflow_team128_v5_IMG_0407_jpg.rf.c291f60637b4c8090a668b491e1d1415.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0407_jpg.rf.c291f60637b4c8090a668b491e1d1415.jpg	train	roboflow_team128_v5	1	0.786000	0.005844	0.000000	0.000000	1571	0	1955	384
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00012_roboflow_team128_v5_IMG_0408_jpg.rf.091c760cd5101a0a037004214fec631c.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0408_jpg.rf.091c760cd5101a0a037004214fec631c.jpg	train	roboflow_team128_v5	1	0.316338	0.002911	0.000000	0.001884	1915	1632	2299	2016
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00013_roboflow_team128_v5_IMG_0412_jpg.rf.2f9cac9219bc4537281fedaada21a690.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0412_jpg.rf.2f9cac9219bc4537281fedaada21a690.jpg	train	roboflow_team128_v5	3	0.162793	0.002197	0.000000	0.000000	1254	1663	1638	2047
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00014_roboflow_team128_v5_IMG_0413_jpg.rf.2e2c71e25304fae8674c84820e658334.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0413_jpg.rf.2e2c71e25304fae8674c84820e658334.jpg	train	roboflow_team128_v5	2	0.198935	0.004143	0.000000	0.000000	120	1367	504	1751
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00015_roboflow_team128_v5_IMG_0416_jpg.rf.a8613a9c4bc0659a943885aa7efd0515.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0416_jpg.rf.a8613a9c4bc0659a943885aa7efd0515.jpg	train	roboflow_team128_v5	2	0.128822	0.002010	0.000000	0.000000	1936	3648	2320	4032
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00016_roboflow_team128_v5_IMG_0420_jpg.rf.da03c1d552b814d432b410848279879b.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0420_jpg.rf.da03c1d552b814d432b410848279879b.jpg	train	roboflow_team128_v5	1	0.162831	0.001747	0.000000	0.000000	2640	2639	3024	3023
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00017_roboflow_team128_v5_IMG_0429_jpg.rf.fb57fcfd57d6069238f28d1a13814eb8.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0429_jpg.rf.fb57fcfd57d6069238f28d1a13814eb8.jpg	train	roboflow_team128_v5	1	0.307244	0.004536	0.000000	0.000000	1642	1894	2026	2278
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00018_roboflow_team128_v5_IMG_0433_jpg.rf.4e1128b627fcd454745d7ab9ad7f2927.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0433_jpg.rf.4e1128b627fcd454745d7ab9ad7f2927.jpg	train	roboflow_team128_v5	2	0.598718	0.006966	0.000000	0.000000	110	519	494	903
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00019_roboflow_team128_v5_IMG_0433_jpg.rf.4e1128b627fcd454745d7ab9ad7f2927.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0433_jpg.rf.4e1128b627fcd454745d7ab9ad7f2927.jpg	train	roboflow_team128_v5	4	0.178444	0.003548	0.000000	0.000000	1857	0	2241	384
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00020_roboflow_team128_v5_IMG_0440_jpg.rf.bba292524b46dad1a77b0e499db3495f.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0440_jpg.rf.bba292524b46dad1a77b0e499db3495f.jpg	train	roboflow_team128_v5	2	0.184918	0.005138	0.000000	0.000000	944	970	1328	1354
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00021_roboflow_team128_v5_IMG_0440_jpg.rf.bba292524b46dad1a77b0e499db3495f.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0440_jpg.rf.bba292524b46dad1a77b0e499db3495f.jpg	train	roboflow_team128_v5	3	0.153709	0.000996	0.000000	0.000000	2727	3177	3024	3474
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00022_roboflow_team128_v5_IMG_0444_jpg.rf.83ad842fe4150a62a28712eeb9e307db.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0444_jpg.rf.83ad842fe4150a62a28712eeb9e307db.jpg	train	roboflow_team128_v5	2	0.557224	0.010277	0.000000	0.000000	1485	2744	1869	3128
D:/MelonDataset/watermelon_seg/exports/hard_negative_team128_runs15_trainval/images/train/hardneg_train_00023_roboflow_team128_v5_IMG_0445_jpg.rf.567b784016c91fac8671ddd1bd414906.jpg	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0445_jpg.rf.567b784016c91fac8671ddd1bd414906.jpg	train	roboflow_team128_v5	3	0.361704	0.001999	0.000000	0.000000	2640	708	3024	1092
