image	instances	min_area	small_instances	tiny_instances	edge_instances	repeat	reasons
D:/MelonDataset/watermelon_seg/images/train/local_test_images_20260707_0001.jpg	11	0.00040862	4	1	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/local_test_images_20260707_0002.jpg	9	0.00024064	2	1	0	5	dense_instances>=8,small_instances>=1,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/local_test_images_20260707_0003.jpg	12	0.00041671	5	2	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/local_test_images_20260707_0004.jpg	10	0.00037681	1	1	0	5	dense_instances>=8,small_instances>=1,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/local_test_images_20260707_0005.jpg	11	0.00074894	3	1	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/local_test_images_20260707_0006.jpg	9	0.00116423	1	0	0	4	dense_instances>=8,small_instances>=1
D:/MelonDataset/watermelon_seg/images/train/local_test_images_20260707_0008.jpg	13	0.00014177	6	3	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/local_test_images_20260707_0009.jpg	14	0.00025666	7	3	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000007.png	10	0.00236083	7	0	0	5	dense_instances>=8,small_instances>=3
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000008.png	10	0.00236083	7	0	0	5	dense_instances>=8,small_instances>=3
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000009.png	10	0.00236083	7	0	0	5	dense_instances>=8,small_instances>=3
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000010.png	10	0.00236083	7	0	0	5	dense_instances>=8,small_instances>=3
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000011.png	8	0.00084850	6	1	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000014.png	9	0.00029963	5	1	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000015.png	9	0.00047897	7	1	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000017.png	12	0.00008925	8	2	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000018.png	13	0.00025494	10	4	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000019.png	12	0.00026388	9	2	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000020.png	11	0.00046017	7	2	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000021.png	10	0.00079138	7	2	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000022.png	13	0.00020104	9	5	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000023.png	11	0.00021167	9	2	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000024.png	9	0.00078008	6	1	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000025.png	9	0.00075906	7	1	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000032.png	11	0.00024098	9	2	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
D:/MelonDataset/watermelon_seg/images/train/my_labelme_color_000033.png	10	0.00045600	8	1	0	5	dense_instances>=8,small_instances>=3,tiny_instances>=1
