split	image	labelme_json	instances
train	color_000001.png	color_000001.json	11
train	color_000008.png	color_000008.json	10
train	color_000010.png	color_000010.json	10
train	color_000012.png	color_000012.json	10
train	color_000014.png	color_000014.json	9
train	color_000017.png	color_000017.json	12
train	color_000018.png	color_000018.json	13
train	color_000019.png	color_000019.json	12
train	color_000020.png	color_000020.json	11
train	color_000021.png	color_000021.json	10
train	color_000022.png	color_000022.json	13
train	color_000024.png	color_000024.json	9
train	color_000025.png	color_000025.json	9
train	color_000026.png	color_000026.json	12
train	color_000030.png	color_000030.json	12
train	color_000031.png	color_000031.json	10
train	color_000032.png	color_000032.json	11
train	color_000033.png	color_000033.json	10
train	color_000034.png	color_000034.json	11
train	color_000035.png	color_000035.json	13
train	color_000039.png	color_000039.json	12
train	color_000044.png	color_000044.json	15
train	color_000045.png	color_000045.json	13
train	color_000046.png	color_000046.json	12
train	color_000048.png	color_000048.json	9
train	color_000049.png	color_000049.json	8
train	color_000051.png	color_000051.json	10
train	color_000052.png	color_000052.json	9
train	color_000053.png	color_000053.json	9
train	color_000054.png	color_000054.json	10
train	color_000055.png	color_000055.json	12
train	color_000056.png	color_000056.json	13
train	color_000057.png	color_000057.json	13
train	color_000058.png	color_000058.json	11
train	color_000059.png	color_000059.json	11
train	color_000060.png	color_000060.json	13
train	color_000068.png	color_000068.json	10
val	color_000009.png	color_000009.json	10
val	color_000023.png	color_000023.json	11
val	color_000027.png	color_000027.json	10
val	color_000064.png	color_000064.json	9
test	color_000007.png	color_000007.json	10
test	color_000011.png	color_000011.json	8
test	color_000015.png	color_000015.json	9
test	color_000038.png	color_000038.json	13
test	color_000067.png	color_000067.json	11
test	color_000070.png	color_000070.json	12
