epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7584,1.97651,3.53417,2.35384,1.97256,0,0.51163,0.20796,0.21224,0.10613,0.36703,0.07522,0.05103,0.01509,2.34507,12.1172,3.32958,2.35022,0,0.000981132,0.000981132,0.0682767
2,45.8186,1.56134,2.61505,1.57822,1.65909,0,0.23974,0.33907,0.25742,0.11615,0.23773,0.25391,0.20109,0.07263,1.90083,6.73697,3.3589,2.07051,0,0.00198065,0.00198065,0.0359429
3,58.9469,1.46135,2.54051,1.47862,1.5375,0,0.66818,0.63717,0.65795,0.37301,0.64145,0.59735,0.6141,0.29217,1.50957,3.28853,1.53156,1.70525,0,0.00297822,0.00297822,0.00360715
4,72.1309,1.39702,2.50415,1.367,1.49881,0,0.70759,0.53097,0.60585,0.36394,0.68308,0.54867,0.58978,0.33658,1.42965,2.73745,2.65883,1.5985,0,0.00299341,0.00299341,0.00299341
5,84.9986,1.33178,2.38912,1.25557,1.44,0,0.67959,0.60619,0.64032,0.39321,0.68951,0.61504,0.64615,0.37316,1.41909,2.64562,1.85589,1.61907,0,0.00298829,0.00298829,0.00298829
6,97.2561,1.29713,2.3197,1.23279,1.41345,0,0.72324,0.61062,0.69072,0.46646,0.70121,0.60229,0.67003,0.41079,1.17813,2.547,1.35873,1.40131,0,0.00298172,0.00298172,0.00298172
7,110.292,1.25956,2.25836,1.16244,1.36883,0,0.75281,0.61988,0.7125,0.45154,0.78989,0.5885,0.6794,0.40088,1.19874,2.51119,1.28939,1.36927,0,0.0029737,0.0029737,0.0029737
8,122.765,1.20065,2.25446,1.14053,1.33559,0,0.67704,0.59366,0.63375,0.41478,0.67812,0.55752,0.59941,0.34506,1.21048,3.14047,1.72076,1.44137,0,0.00296424,0.00296424,0.00296424
9,135.467,1.17804,2.22644,1.08508,1.30705,0,0.8382,0.64184,0.74597,0.51086,0.79795,0.61162,0.66273,0.3778,1.13351,3.02501,1.16909,1.29009,0,0.00295335,0.00295335,0.00295335
10,147.825,1.15401,2.15985,1.03778,1.29763,0,0.8281,0.63946,0.73568,0.49847,0.82556,0.60728,0.69443,0.42326,1.16836,2.66897,1.17332,1.32249,0,0.00294104,0.00294104,0.00294104
11,160.19,1.15582,2.2016,1.05359,1.29458,0,0.76153,0.64602,0.73536,0.50057,0.73887,0.64159,0.69032,0.42495,1.12257,2.5765,1.25264,1.30441,0,0.00292732,0.00292732,0.00292732
12,172.547,1.08417,2.0449,0.99979,1.24316,0,0.7593,0.5177,0.61605,0.40352,0.78571,0.4705,0.58687,0.33294,1.20911,2.57714,1.79948,1.37284,0,0.00291221,0.00291221,0.00291221
13,185.082,1.06038,2.01617,0.96737,1.23476,0,0.79759,0.55794,0.61872,0.4328,0.83369,0.53233,0.59667,0.38801,1.28356,2.80578,1.72066,1.42465,0,0.00289572,0.00289572,0.00289572
14,197.419,1.09179,2.12754,0.98753,1.2521,0,0.79468,0.71681,0.74612,0.53467,0.73669,0.66372,0.67295,0.39382,1.05292,2.94232,0.96359,1.2246,0,0.00287787,0.00287787,0.00287787
15,210.258,1.05216,2.07635,0.94952,1.22401,0,0.78494,0.7106,0.77156,0.55109,0.80195,0.69469,0.75107,0.49485,0.93629,2.09706,1.19621,1.15618,0,0.00285867,0.00285867,0.00285867
16,222.722,1.0465,2.00833,0.9389,1.22259,0,0.87471,0.73451,0.81371,0.59835,0.87112,0.71777,0.79016,0.53793,0.97071,2.08493,0.89587,1.17339,0,0.00283814,0.00283814,0.00283814
17,235.15,1.01284,1.98501,0.88717,1.19557,0,0.82536,0.73009,0.78966,0.57916,0.82652,0.71678,0.76463,0.50963,0.97543,2.20592,0.90876,1.19426,0,0.00281632,0.00281632,0.00281632
18,247.604,1.00713,1.97167,0.87787,1.1993,0,0.85219,0.67257,0.76649,0.55944,0.85745,0.65929,0.72906,0.48316,0.9385,2.38027,1.15378,1.15277,0,0.0027932,0.0027932,0.0027932
19,260.338,1.00218,1.95463,0.89413,1.18587,0,0.9113,0.76106,0.82145,0.59631,0.89251,0.75664,0.78743,0.53001,0.91667,2.13426,0.83337,1.13392,0,0.00276883,0.00276883,0.00276883
20,272.649,1.0059,1.98161,0.90515,1.19906,0,0.79004,0.57965,0.66924,0.47707,0.77131,0.56637,0.63365,0.424,1.08504,2.61527,1.39037,1.29829,0,0.00274321,0.00274321,0.00274321
21,284.919,1.01757,1.99432,0.88346,1.19194,0,0.79309,0.66814,0.74564,0.52907,0.77179,0.65487,0.71738,0.46608,0.95435,2.28437,0.96586,1.17021,0,0.00271639,0.00271639,0.00271639
22,297.406,1.00509,1.9422,0.88449,1.18215,0,0.8605,0.69027,0.7429,0.5267,0.86543,0.65487,0.71745,0.46611,1.10134,2.19202,1.29579,1.32555,0,0.00268838,0.00268838,0.00268838
23,309.724,0.97779,1.89819,0.85468,1.1655,0,0.89783,0.75221,0.82194,0.61531,0.88122,0.73009,0.79648,0.53909,0.8716,2.01513,0.79434,1.10712,0,0.00265921,0.00265921,0.00265921
24,322.41,0.97459,1.91048,0.82157,1.14084,0,0.8875,0.76798,0.82393,0.61579,0.87779,0.75664,0.80232,0.54512,0.89899,1.98846,0.92566,1.10516,0,0.00262891,0.00262891,0.00262891
25,335.141,0.94119,1.89947,0.82289,1.14059,0,0.89848,0.74779,0.81405,0.62029,0.89316,0.74336,0.80331,0.54792,0.85135,2.01143,0.87765,1.11982,0,0.00259752,0.00259752,0.00259752
26,347.416,0.94219,1.87757,0.83329,1.14585,0,0.91912,0.75428,0.81449,0.62827,0.90561,0.74779,0.80334,0.56175,0.87137,1.93492,0.77875,1.10884,0,0.00256505,0.00256505,0.00256505
27,359.65,0.94426,1.93753,0.83013,1.13239,0,0.90636,0.72809,0.80765,0.61644,0.86666,0.73451,0.79107,0.57203,0.88218,1.9898,0.82674,1.10915,0,0.00253155,0.00253155,0.00253155
28,372.194,0.91939,1.90205,0.79752,1.12316,0,0.87117,0.77876,0.81658,0.63955,0.85632,0.76549,0.80713,0.56543,0.84154,1.85355,0.86294,1.08183,0,0.00249705,0.00249705,0.00249705
29,384.84,0.92513,1.80837,0.80818,1.14298,0,0.90123,0.75664,0.81769,0.61126,0.89255,0.73509,0.79939,0.5469,0.88445,1.99722,0.78654,1.10065,0,0.00246157,0.00246157,0.00246157
30,397.536,0.92695,1.88266,0.81259,1.12377,0,0.90974,0.75221,0.82481,0.61793,0.90541,0.74779,0.82487,0.57303,0.84911,1.83969,0.78993,1.08753,0,0.00242517,0.00242517,0.00242517
31,409.8,0.91578,1.83,0.79001,1.11768,0,0.87967,0.71681,0.81191,0.59812,0.85531,0.70622,0.79487,0.55199,0.88034,1.94474,0.82629,1.11144,0,0.00238786,0.00238786,0.00238786
32,422.342,0.89507,1.83482,0.79788,1.1252,0,0.87658,0.76106,0.81231,0.60529,0.87658,0.76106,0.80139,0.53137,0.89336,2.03405,0.79639,1.16211,0,0.00234969,0.00234969,0.00234969
33,434.855,0.86351,1.76974,0.76417,1.0919,0,0.87866,0.76901,0.82702,0.6279,0.85303,0.74479,0.80157,0.5568,0.82153,1.87309,0.8141,1.08954,0,0.0023107,0.0023107,0.0023107
34,447.438,0.868,1.78412,0.76246,1.09842,0,0.91222,0.68973,0.79978,0.605,0.91479,0.67699,0.7915,0.5414,0.86974,1.93132,0.83032,1.09835,0,0.00227093,0.00227093,0.00227093
35,459.726,0.85237,1.7763,0.74392,1.08357,0,0.93452,0.75775,0.83682,0.63889,0.92173,0.74336,0.81834,0.57926,0.8299,1.85148,0.7045,1.07696,0,0.0022304,0.0022304,0.0022304
36,472.327,0.87225,1.83121,0.76025,1.09506,0,0.88029,0.78091,0.8239,0.64615,0.88215,0.76181,0.82339,0.58779,0.83598,1.82398,0.79786,1.08776,0,0.00218918,0.00218918,0.00218918
37,484.573,0.89576,1.85125,0.7873,1.10356,0,0.91064,0.72566,0.80469,0.6216,0.89384,0.70786,0.78633,0.55422,0.84274,2.05036,0.82626,1.09169,0,0.00214728,0.00214728,0.00214728
38,496.843,0.83495,1.73054,0.7234,1.0879,0,0.90475,0.75664,0.83524,0.63819,0.89037,0.72566,0.79671,0.56096,0.82776,1.95307,0.73038,1.06537,0,0.00210476,0.00210476,0.00210476
39,509.327,0.84299,1.75327,0.74609,1.07983,0,0.94302,0.75221,0.82523,0.63435,0.9269,0.73894,0.80321,0.56208,0.82973,1.79183,0.94824,1.07284,0,0.00206166,0.00206166,0.00206166
40,521.011,0.84805,1.733,0.73445,1.08797,0,0.90841,0.76549,0.82781,0.64741,0.87863,0.76879,0.81313,0.56825,0.78371,1.79381,0.68873,1.04569,0,0.00201803,0.00201803,0.00201803
41,532.923,0.8721,1.77112,0.76126,1.09867,0,0.8804,0.74914,0.80932,0.62837,0.8752,0.74472,0.80368,0.57741,0.85303,1.87748,0.78906,1.09769,0,0.00197389,0.00197389,0.00197389
42,544.219,0.84677,1.71751,0.72209,1.07576,0,0.90564,0.79646,0.85085,0.6721,0.89588,0.77876,0.83122,0.59169,0.76522,1.76509,0.69614,1.03598,0,0.0019293,0.0019293,0.0019293
43,555.442,0.83402,1.67222,0.73671,1.07737,0,0.8679,0.75221,0.82061,0.64766,0.87172,0.74779,0.81153,0.58227,0.78189,1.81063,0.73576,1.05762,0,0.0018843,0.0018843,0.0018843
44,566.843,0.8727,1.70914,0.74353,1.09456,0,0.90638,0.77107,0.84463,0.64684,0.88867,0.79204,0.83428,0.57571,0.81044,1.79109,0.64446,1.05374,0,0.00183894,0.00183894,0.00183894
45,578.486,0.81764,1.71484,0.70392,1.06018,0,0.8658,0.77079,0.83175,0.64909,0.91975,0.71681,0.81245,0.57383,0.78951,1.84105,0.73135,1.04685,0,0.00179326,0.00179326,0.00179326
46,589.851,0.82687,1.6877,0.70461,1.06843,0,0.85268,0.79204,0.83088,0.65887,0.89518,0.75221,0.82213,0.59439,0.75615,1.70795,0.68678,1.04262,0,0.00174731,0.00174731,0.00174731
47,601.202,0.81886,1.68022,0.71088,1.06934,0,0.90056,0.76135,0.83568,0.6609,0.90614,0.74779,0.81659,0.58364,0.74833,1.74943,0.67534,1.04038,0,0.00170112,0.00170112,0.00170112
48,612.613,0.78845,1.63236,0.68283,1.04127,0,0.86277,0.77876,0.83793,0.65741,0.85786,0.77434,0.82219,0.58433,0.77939,1.71524,0.67459,1.05886,0,0.00165475,0.00165475,0.00165475
49,624.268,0.79673,1.60924,0.68968,1.0656,0,0.92593,0.77434,0.85876,0.67501,0.91534,0.76549,0.81734,0.59636,0.79502,1.75003,0.64099,1.04609,0,0.00160824,0.00160824,0.00160824
50,635.755,0.79824,1.6116,0.6851,1.05292,0,0.94401,0.70796,0.83037,0.64447,0.9336,0.69469,0.79908,0.58602,0.80374,1.77946,0.71197,1.06505,0,0.00156164,0.00156164,0.00156164
51,647.133,0.79802,1.63354,0.66521,1.04217,0,0.86654,0.79646,0.84705,0.66366,0.85962,0.78576,0.82728,0.59356,0.78502,1.73154,0.68997,1.04906,0,0.001515,0.001515,0.001515
52,658.502,0.79743,1.66151,0.68705,1.05491,0,0.89959,0.79204,0.85955,0.6752,0.88826,0.77384,0.82788,0.60556,0.75003,1.71111,0.63256,1.02306,0,0.00146836,0.00146836,0.00146836
53,670.015,0.79094,1.64663,0.68549,1.04062,0,0.90087,0.73451,0.82439,0.63865,0.88368,0.70796,0.78597,0.56662,0.8118,1.98116,0.78563,1.06062,0,0.00142176,0.00142176,0.00142176
54,681.412,0.78447,1.67042,0.67126,1.04401,0,0.94497,0.75988,0.85507,0.67839,0.8919,0.76665,0.8344,0.59869,0.75146,1.71276,0.66111,1.02969,0,0.00137525,0.00137525,0.00137525
55,692.775,0.80183,1.6914,0.6818,1.06045,0,0.92479,0.70726,0.80652,0.63622,0.91321,0.69841,0.78169,0.55301,0.80397,1.90281,0.84828,1.07234,0,0.00132888,0.00132888,0.00132888
56,704.288,0.76287,1.59318,0.65782,1.04005,0,0.89856,0.77434,0.84968,0.66753,0.87014,0.7709,0.82655,0.60323,0.76083,1.70976,0.63825,1.04337,0,0.00128269,0.00128269,0.00128269
