epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3122,0.81336,1.81906,0.72004,1.16649,0,0.86721,0.77617,0.84352,0.66478,0.85805,0.76797,0.83121,0.56856,0.79221,2.03514,0.74997,1.06437,0,0.00033,0.00033,0.06733
2,56.4915,0.75529,1.72532,0.63483,1.10202,0,0.94246,0.73839,0.85303,0.67908,0.93723,0.73429,0.85608,0.60783,0.73422,1.66977,0.68371,1.03565,0,0.000647263,0.000647263,0.0343139
3,73.565,0.75085,1.62178,0.64048,1.08729,0,0.87772,0.76485,0.85127,0.68743,0.89104,0.76639,0.85128,0.61615,0.71,1.6399,0.68846,1.01712,0,0.000902445,0.000902445,0.00123578
4,90.8547,0.70158,1.49931,0.59717,1.06986,0,0.909,0.7541,0.85521,0.69633,0.91961,0.75011,0.85267,0.62657,0.7145,1.53422,0.64037,1.04454,0,0.000795954,0.000795954,0.000795954
5,105.195,0.70085,1.50973,0.59827,1.0551,0,0.92613,0.75,0.85335,0.69212,0.93119,0.7541,0.85264,0.62503,0.70512,1.54371,0.68091,1.01408,0,0.000657963,0.000657963,0.000657963
6,121.512,0.69875,1.51163,0.59712,1.04292,0,0.9084,0.7722,0.86725,0.70081,0.93906,0.75791,0.85687,0.62059,0.6806,1.5283,0.63376,1.00585,0,0.000505,0.000505,0.000505
7,136.786,0.66827,1.53491,0.58292,1.04257,0,0.92257,0.7541,0.86595,0.70042,0.92257,0.7541,0.8562,0.6328,0.70712,1.52221,0.65609,1.02089,0,0.000352037,0.000352037,0.000352037
8,154.639,0.65204,1.45726,0.56164,1.02681,0,0.91627,0.76246,0.86851,0.70592,0.90128,0.76639,0.86034,0.63275,0.68967,1.49887,0.62159,1.0114,0,0.000214046,0.000214046,0.000214046
9,172.698,0.6488,1.4466,0.54606,1.0369,0,0.9214,0.76875,0.86899,0.7046,0.94877,0.7541,0.86604,0.63599,0.68583,1.51462,0.61797,1.00602,0,0.000104537,0.000104537,0.000104537
10,191.731,0.64748,1.4268,0.54424,1.0329,0,0.93917,0.75931,0.87208,0.71215,0.95818,0.75124,0.86886,0.63937,0.67544,1.49959,0.61513,1.00373,0,3.4227e-05,3.4227e-05,3.4227e-05
