epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.15169,3.66689,6.95373,5.33298,2.37317,0,0,0,0,0,0,0,0,0,2.63697,4.88086,4.35828,2.06181,0,0.00018,0.00018,0.00018
2,18.2929,3.0821,4.85844,4.47402,2.12938,0,0.0025,0.075,0.00019,4e-05,0.00167,0.05,8e-05,1e-05,2.43418,4.32633,4.29499,1.90222,0,0.000378119,0.000378119,0.000378119
3,26.8794,2.53027,4.37561,3.97678,1.70119,0,0.02333,0.7,0.02129,0.00781,0.02,0.6,0.0159,0.00421,2.23112,4.20148,3.72131,1.62925,0,0.000574258,0.000574258,0.000574258
4,35.745,2.1616,4.04957,3.58099,1.45759,0,0.02833,0.85,0.04429,0.02046,0.02833,0.85,0.04262,0.01585,1.78993,4.26814,3.34352,1.39625,0,0.000768417,0.000768417,0.000768417
5,44.7336,1.91152,3.8617,3.21442,1.25833,0,0.77914,0.35292,0.60763,0.32693,0.77914,0.35292,0.57988,0.2275,1.42415,4.27593,2.27217,1.20487,0,0.000960596,0.000960596,0.000960596
6,54.0177,1.7817,3.57826,2.99159,1.22888,0,0.77969,0.53102,0.74681,0.3974,0.77969,0.53102,0.71917,0.34676,1.46619,3.6997,1.9371,1.23064,0,0.0011508,0.0011508,0.0011508
7,62.8175,1.71588,3.38125,2.82116,1.20991,0,0.77969,0.53102,0.74681,0.3974,0.77969,0.53102,0.71917,0.34676,1.46619,3.6997,1.9371,1.23064,0,0.00133901,0.00133901,0.00133901
8,71.7689,1.74906,3.56424,2.65778,1.19619,0,0.75793,0.65,0.75534,0.45872,0.75793,0.65,0.74601,0.38452,1.36826,3.55691,1.72902,1.22005,0,0.00152525,0.00152525,0.00152525
9,80.9192,1.71017,3.48061,2.53112,1.1871,0,0.83229,0.65,0.78807,0.50259,0.77173,0.6,0.71688,0.36357,1.31317,2.9918,1.55554,1.17717,0,0.00170951,0.00170951,0.00170951
10,89.7096,1.64275,3.48003,2.40925,1.15295,0,0.83229,0.65,0.78807,0.50259,0.77173,0.6,0.71688,0.36357,1.31317,2.9918,1.55554,1.17717,0,0.00189179,0.00189179,0.00189179
11,99.8528,1.69499,3.22615,2.30383,1.20877,0,0.87953,0.73019,0.81897,0.51245,0.87677,0.71171,0.78975,0.40801,1.30358,2.90432,1.49135,1.16467,0,0.001901,0.001901,0.001901
12,108.285,1.70494,3.36152,2.203,1.15726,0,0.86314,0.78849,0.84419,0.50551,0.86314,0.78849,0.82233,0.43079,1.3214,3.28042,1.26102,1.15342,0,0.0018911,0.0018911,0.0018911
13,115.886,1.57937,3.10583,2.03545,1.1392,0,0.86314,0.78849,0.84419,0.50551,0.86314,0.78849,0.82233,0.43079,1.3214,3.28042,1.26102,1.15342,0,0.0018812,0.0018812,0.0018812
14,123.289,1.433,2.80392,2.64389,1.04047,0,0.84907,0.84398,0.85437,0.52085,0.87916,0.75,0.8304,0.40862,1.31433,2.96284,1.19349,1.15176,0,0.0018713,0.0018713,0.0018713
15,131.046,1.55292,3.08626,1.78013,1.11996,0,0.90222,0.825,0.87627,0.55021,0.91254,0.78271,0.8452,0.4092,1.23836,2.7623,1.08536,1.15029,0,0.0018614,0.0018614,0.0018614
16,138.967,1.48931,2.95496,1.66817,1.09739,0,0.90222,0.825,0.87627,0.55021,0.91254,0.78271,0.8452,0.4092,1.23836,2.7623,1.08536,1.15029,0,0.0018515,0.0018515,0.0018515
